Description,Price,Sqr Ft,Longitude,Latitude,Beds,Bath,Year Built,Address,City,State,Zipcode
" Spectacular new construction boutique condominium building in beautiful Carroll Gardens, offering seven luxurious modern homes in one of Brooklyn's most coveted, charming neighborhoods. These finely designed apartments, ranging in size from 1,025 to 1,688 square feet, enjoy open concept living/entertaining floorplans, extra tall airy ceilings, exquisite high-end finishes, and abundant natural light. Private outdoor spaces (29 to 880 square feet) also grace each unit, with generous yards for the 2 duplexes and lovely balconies and rooftop terraces for the other residences. Stunning hardwood floors, premium chef's kitchens with a suite of Bosch appliances, in-unit washer dryer, spa-quality baths, custom-fitted closets, central heating & cooling, walk-in closets, a virtual doorman system, plus a common rooftop terrace round out the exceptional level of comfort and elegance these sophisticated homes offer. Topping the allure is the prime location, moments from the F and G train with other nearby subway options, the plethora of shops, restaurants and amenities on Court and Smith Streets, and much more! Be among the first to experience the exceptional lifestyle at 41 Garnet and own a brand new Brooklyn jewel! ","$1,300,000 ","1,069 sqft",-73.99892,40.674496,2,2,2019," 41 Garnet St #2A Brooklyn, NY 11231 ",Brooklyn,NY,11231
" Corner lot, country-style home on a quarter acre! The first floor is the heart of this home with an open kitchen, breakfast bar, living and dining areas with wood floors throughout! Living has vaulted ceilings and oak details, complete with a glass fireplace. The informal dining has french doors to enjoy the daylight from the warmth of your dining table. ","$342,500 ","1,593 sqft",-149.55519,61.30947,3,2,1982," 9839 Niltina Ln Eagle River, AK 99577 ",Eagle River,AK,99577
 coveted pikes peak panorama! recently renovated with model style earth tone decor. open design with large living spaces. oversize master suite has walk-in closet and changing area. hobbyist dream garage has work bench and plenty of space. corner lot with large fenced yard and r/v parking. see this one quick!!! ,"$264,900 ","1,654 sqft",-104.737976,38.814205,4,3,1977," 4868 Irving Dr Colorado Springs, CO 80916 ",Colorado Springs,CO,80916
" Noir on the Northern Shore: Beautiful brand new house on Lake Mendota and a dead end road, including a lake lounge (boat house) and 1,518 SF of outdoor patio space with the best sunsets in town!! Featured in Lakeshore Living Magazine and professionally designed, this house is a must see!! High end, unique finishes drape the interior of this custom home and Shou Sugi Ban, metal panels and glass railings adorn the exterior of this modern marvel. 300 ft of flat lawn made for entertaining with a lakeside basketball court, lakeside bar, life size chess, and gas fire pit. Perfect place for swimming, boating, fishing and ice skating. ","$2,200,000 ","4,988 sqft",-89.40839,43.13873,3,4,1957," 4146 Veith Ave Madison, WI 53704 ",Madison,WI,53704
" Great opportunity to own this massive huge brick building with large room count on an extra wide lot. 3 apartments with 7 rooms, 3 bedrooms and 2 bathrooms per unit!! Plus full basement (partially finished) and 2 car garage. Great investment and upside on this great building with huge rental income. A must buy!!! WE ARE IN A MULTIPLE OFFER FOR 5:00 PM OF 01/08/20 ","$91,000 ","6,588 sqft",-87.71974,41.859516,9,6,1920," 1541 S Hamlin Ave Chicago, IL 60623 ",Chicago,IL,60623
" You have to check out this stunning 3 Bed, 2 bath newly remodeled home in Austin! Conveniently located near 183, 290 and 130, this home will make for an easy commute. Nature lovers will enjoy being within minutes from numerous parks, the greenbelt, & golf courses. Travel less than 5 miles, and you'll find yourself in the Mueller District offering numerous shops & restaurants. Plan your showing today! Don't miss out on this amazing opportunity. ","$335,000 ","1,314 sqft",-97.6583,30.31364,3,2,1979," 7302 Lazy Creek Dr Austin, TX 78724 ",Austin,TX,78724
" This single-family home is located at 8507 S Kilpatrick Ave, Chicago, IL. 8507 S Kilpatrick Ave is in the Scottsdale neighborhood in Chicago, IL and in ZIP code 60652. It is currently for sale and has been listed on Trulia for 6 days. This property has 3 bedrooms, 1.5 bathrooms and approximately 1,132 sqft of floor space. This property has a lot size of 4,000 sqft and was built in 1971. ","$220,310 ","1,132 sqft",-87.73818,41.73792,3,1.5,1971," 8507 S Kilpatrick Ave Chicago, IL 60652 ",Chicago,IL,60652
" Attractive 1920's Tudor located in the highly desirable M-Streets neighborhood. This home includes three bedrooms, two baths and two living areas. Convenient location close to area shopping, dining on fabulous Greenville Avenue, and just minutes from White Rock Lake! This home features an open floor plan with two spacious living areas. This property is open to developers, buyers, future homeowners, and investors. The subject property is to be sold AS-IS! Buyer and buyer's agent to verify any and all information provided about the property. ","$460,000 ","1,880 sqft",-96.7769,32.825745,3,2,1926," 5411 Ridgedale Ave Dallas, TX 75206 ",Dallas,TX,75206
" ''' BEST BUY IN MESA'' Really nice location, close to everything, corner lot, three bedrooms, two bath, this home offers plenty of space, very nice floor plan with a good size lot. ","$239,900 ","1,790 sqft",-111.82247,33.431095,3,2,1969," 901 N Wedgewood Dr Mesa, AZ 85203 ",Mesa,AZ,85203
" This stunning home is truly better than new! Awesome open-concept living with spacious kitchen, eating area and family room. Dream kitchen with 42"" upper cabinets, huge center island, upgraded appliances and an awesome walk-in pantry. Upstairs has 3 bedrooms plus a huge loft and laundry room. Deluxe master suite with walk-in closet and luxurious master bath complete with dual vanities and enormous shower. Tons of recessed lighting, professional landscaping front and back with sprinkler system, Master Suite, Eat-in Kitchen, Entrance Foyer, Kitchen Island, Laminate Counters, Open Floor Plan, Smart Thermostat, Huge unfinished basement with 9' ceilings. Work in DIA or like to travel? This location is unbeatable, so don't wait! This home is move-in ready and sure to go fast! Buyer & buyer's agent to verify zoning/use, square footage, schools, HOA and other information. Motivated seller, submit all offers. ","$425,000 ","2,262 sqft",-104.77833,39.791977,3,3,2018," 18070 E 52nd Pl Denver, CO 80249 ",Denver,CO,80249
" Great starter home. Easy access SS Expressway! Investment property! Move in Ready! Freshly painted interior, Brand new A/C & Central Heat. New Carpet, Original Hardwoods, New kitchen, Utility room inside. Wood burning fireplace! Buy for less monthly payments than rent! ","$77,500 ","1,176 sqft",-96.043655,36.154167,3,1,1955," 4445 W 1st St Tulsa, OK 74127 ",Tulsa,OK,74127
" Fabulous furnished corner unit that faces St. Charles just in time for Mardi Gras! Lovely furnishings and fully equipped kitchen. Light, bright, quiet, private with a gorgeous view. Convenient to CBD, Universities, shopping and everything the city has to offer! Building includes large pool, well equipped gym, 24 hr. security, easy access to covered parking spot. Great weekend spot or investment. ","$155,000 ",505 sqft,-90.074066,29.941422,1,1,2012," 1205 Saint Charles Ave #1007 New Orleans, LA 70130 ",New Orleans,LA,70130
" HOT Deal Alert: This property deal has a high potential return. Make sure you strike while it's HOT so you don't miss your chance at a high potential ROI. The potential return is based on the estimated resale value and estimated credit bid for the property, and doesn't consider any repair, legal or transaction costs due to the current condition of the property. This property is being offered at Public Auction on 03-11-2020. Visit Auction.com now to view additional photos, Property Inspection Report with title information, plat maps and interior inspection reports when available. Auction.com is the nation's leading real estate transaction platform focused exclusively on the sale of residential foreclosure and bank-owned properties. The majority of these properties are priced below market value. Don't miss this special opportunity to buy homes at wholesale prices! In addition to this property, 79 other properties are scheduled for sale at this same Foreclosure Sale. In our online auctions and live Foreclosure Sales, Auction.com currently has 281 properties scheduled for sale in Pima County and 1459 throughout Arizona. All properties and sale details can be found with a simple search at Auction.com. Create a free account today to find more properties like this one, save searches of properties that meet your investment criteria and have the properties you're looking for emailed directly to you when posted in an upcoming sale event. To view the complete details of this exact property, click the Auction.com link below or paste the Property ID 2451292 into the search bar at Auction.com. ","$211,093 ","1,627 sqft",-111.036934,32.360332,3,2,2004," 3275 W Treece Pl Tucson, AZ 85742 ",Tucson,AZ,85742
" This is a great opportunity to own a one level home 4/2.5 bath home in one of the great neighborhoods in Nashville. Convenient to parks, shopping, and schools. Make this home yours and add your HGTV touch to it and it could easily be converted to a magnificent 4 bedroom 3 bath home with excellent master suite. NEW HVAC, roof and paint. Similar homes have sold for 430,000 in this neighborhood ","$369,000 ","2,297 sqft",-86.88976,36.080387,4,3,1968," 6829 Cloudland Dr Nashville, TN 37205 ",Nashville,TN,37205
" Perfect starter, downsizing or investment home on a quiet flat street. Covered back porch with large back yard, integral garage and original hardwood flooring. New roof 06/19, New Trane furnace 11/18, new windows 10/17, new hot water tank 03/19 and updated electrical. Minutes away from 376, Squirrel Hill , downtown, Oakland and Monroeville & PA Turnpike!. So close to dining, shopping, dog parks, gyms, and swimming pools. ","$89,900 ",990 sqft,-79.87192,40.42148,2,1,1950," 978 Illinois Ave Pittsburgh, PA 15221 ",Pittsburgh,PA,15221
" Another inexpensive property to add to your rental portfolio. Decent porchfront in popular Edmonson Village neighborhood. GR TBD, buyer to verfiy all information. ","$15,000 ",,-76.67449,39.29467,3,1,1921," 606 Denison St Baltimore, MD 21229 ",Baltimore,MD,21229
" Beautiful New Construction- 1st Floor Owner's Suite in this Amelia plan ""Craftsman"" elevation. 3 additional bedrooms, 2 additional bathrooms plus HUGE loft located on the second floor. Multizone heating & A/C. Fantastic kitchen with large granite island and counter tops, SS appliance package, extensive luxury waterproof vinyl plank, as well as ceramic tile . Estimated completion April ","$333,606 ","2,684 sqft",-80.80687,35.359352,4,4,2020," 6532 Meridale Forest Dr #86 Charlotte, NC 28269 ",Charlotte,NC,28269
